id,Rank,Name,Image,City,Country,Height in feet,Floors,Year opened
69,69,OKO Tower - South Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Oko_towers_in_2016%2C_Moscow.jpg/200px-Oko_towers_in_2016%2C_Moscow.jpg,Moscow,Russia,1160,85,2015
71,71,Forum 66 Tower 1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Forum_66%2C_Shenyang%2C_Oct2014.png/200px-Forum_66%2C_Shenyang%2C_Oct2014.png,Shenyang,China,1150,68,2015
5,5,Lotte World Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Lotte-tower-close.png/200px-Lotte-tower-close.png,Seoul,South Korea,1819,123,2016
7,7,Guangzhou CTF Finance Center,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Canton_CTF_Finance_Center_%282017-08-30%2C_Final%29.jpg/200px-Canton_CTF_Finance_Center_%282017-08-30%2C_Final%29.jpg,Guangzhou,China,1739,111,2016
25,25,Wuhan Center,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Wuhan_Center_Tower_201901_%EF%BC%88view_from_the_Central_Square_of_Wuhan_CBD%EF%BC%89.jpg/200px-Wuhan_Center_Tower_201901_%EF%BC%88view_from_the_Central_Square_of_Wuhan_CBD%EF%BC%89.jpg,Wuhan,China,1437,88,2016
44,44,Capital Market Authority Headquarters,https://cdn.archilovers.com/projects/c_383_22b6fa84-500e-40ea-9701-b7d8b20c8156.jpg,Riyadh,Saudi Arabia,1263,77,2016
53,53,Federation Tower (East Tower),https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Federation-Tower_in_July%2C_Moscow.jpg/200px-Federation-Tower_in_July%2C_Moscow.jpg,Moscow,Russia,1226,95,2016
4,4,Ping An Finance Center,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/%E5%B9%B3%E5%AE%89%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83_2019-12-23.jpg/200px-%E5%B9%B3%E5%AE%89%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83_2019-12-23.jpg,Shenzhen,China,1965,115,2017
16,16,Changsha IFS Tower T1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/%E9%95%BF%E6%B2%99%E4%B9%9D%E9%BE%99%E4%BB%93%E5%9B%BD%E9%87%91%E4%B8%AD%E5%BF%83.jpg/200px-%E9%95%BF%E6%B2%99%E4%B9%9D%E9%BE%99%E4%BB%93%E5%9B%BD%E9%87%91%E4%B8%AD%E5%BF%83.jpg,Changsha,China,1483,88,2017
20,20,Suzhou IFS,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Suzhou_IFS_27-10-2018.jpg/200px-Suzhou_IFS_27-10-2018.jpg,Suzhou,China,1476,92,2017
39,39,China Resources Headquarters,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/China_Resources_Headquarters_03-10-2018.jpg/200px-China_Resources_Headquarters_03-10-2018.jpg,Shenzhen,China,1288,67,2017
42,42,Shum Yip Upperhills Tower 1,https://upload.wikimedia.org/wikipedia/commons/3/36/ShumYipUpperhillsTower12020.jpg,Shenzhen,China,1273,80,2017
47,47,Logan Century Center 1,https://images.skyscrapercenter.com/building/logancentury1_rendering-full-night_(c)dennis__lau__and__ng__chun__man__architects__and__engineers.jpg,Nanning,China,1251,82,2017
55,55,Address Boulevard,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/View_from_Burj_Khalifah%2C_Dubai_%284%29.jpg/200px-View_from_Burj_Khalifah%2C_Dubai_%284%29.jpg,Dubai,United Arab Emirates,1214,72,2017
61,61,Almas Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Aerial_View_of_Jumeirah_Lakes_Towers.jpg/200px-Aerial_View_of_Jumeirah_Lakes_Towers.jpg,Dubai,United Arab Emirates,1181,68,2017
62,62,Hanking Center,https://www.archute.com/wp-content/uploads/2016/06/HCT_RE_FULL-TOWER_FINAL-1.jpg,Shenzhen,China,1177,65,2017
73,73,Xi An Glory International Financial Center,https://images.skyscrapercenter.com/building/ifc_jangho-group1.jpg,Xian,China,1148,75,2017
8,8,Tianjin CTF Finance Center,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Tianjin_CTF_Finance_Centre%2C_23_of_24_cropped.jpg/200px-Tianjin_CTF_Finance_Centre%2C_23_of_24_cropped.jpg,Tianjin,China,1739,98,2018
9,9,China Zun,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/China_Zun_05-11-2018.jpg/200px-China_Zun_05-11-2018.jpg,Beijing,China,1732,108,2018
14,14,Lakhta Center,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Gazprom_tower_%28Lakhta_Center%29_St_Petersburg._Russia.jpg/200px-Gazprom_tower_%28Lakhta_Center%29_St_Petersburg._Russia.jpg,Saint Petersburg,Russia,1516,86,2018
15,15,Landmark 81,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/LM81_NhonHuynh_5-8-2018.jpg/200px-LM81_NhonHuynh_5-8-2018.jpg,Ho Chi Minh City,Vietnam,1513,81,2018
21,21,The Exchange 106,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Exchange_106_%285-6-2018%29.jpg/200px-Exchange_106_%285-6-2018%29.jpg,Kuala Lumpur,Malaysia,1460,97,2018
37,37,Nanning China Resources Tower,https://images.skyscrapercenter.com/building/gp_nanning-overall.jpg,Nanning,China,1321,85,2018
43,43,30 Hudson Yards,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/30_Hudson_Yards.jpg/200px-30_Hudson_Yards.jpg,New York City,United States,1268,73,2018
54,54,Dalian International Trade Center,https://images.skyscrapercenter.com/building/dalianinternationaltradecenter_rendering-full_(c)shanghai__construction__group.jpg,Dalian,China,1214,86,2018
57,57,Golden Eagle Tiandi Tower A,https://images.skyscrapercenter.com/building/Golden-Eagle-Tiandi-Tower-A-Lester-Ali-1574810108204.jpg,Nanjing,China,1208,76,2018
67,67,Raffles City Chongqing T3N,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/2018%E5%B9%B47%E6%9C%88%E5%BB%BA%E8%AE%BE%E4%B8%AD%E7%9A%84%E9%87%8D%E5%BA%86%E6%9D%A5%E7%A6%8F%E5%A3%AB%E5%B9%BF%E5%9C%BA.jpg/200px-2018%E5%B9%B47%E6%9C%88%E5%BB%BA%E8%AE%BE%E4%B8%AD%E7%9A%84%E9%87%8D%E5%BA%86%E6%9D%A5%E7%A6%8F%E5%A3%AB%E5%B9%BF%E5%9C%BA.jpg,Chongqing,China,1163,79,2018
26,26,111 West 57th Street,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/SteinwayOct25.jpg/200px-SteinwayOct25.jpg,New York City,United States,1428,82,2019
28,28,Dongguan International Trade Center 1,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/%E4%B8%9C%E8%8E%9E%E5%B8%82%2C_%E4%B8%AD%E5%9B%BD_Jul_18%2C_2019_15-39-21_%28cropped%29.jpg/200px-%E4%B8%9C%E8%8E%9E%E5%B8%82%2C_%E4%B8%AD%E5%9B%BD_Jul_18%2C_2019_15-39-21_%28cropped%29.jpg,Dongguan,China,1401,88,2019
36,36,Haeundae LCT The Sharp Landmark Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LCT_From_Dongbaek_Island_2020.01.04_%282%29.jpg/200px-LCT_From_Dongbaek_Island_2020.01.04_%282%29.jpg,Busan,South Korea,1352,101,2019
51,51,Shenzhen Center,https://cloud.ctbuh.org/global-news/2019-01/Shenzhen-GN-Thumb.jpg,Shenzhen,China,1232,80,2019
60,60,Vista Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Chicago_20180830_%2818%29.jpg/200px-Chicago_20180830_%2818%29.jpg,Chicago,United States,1191,101,2019
68,68,Raffles City Chongqing T4N,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/2018%E5%B9%B47%E6%9C%88%E5%BB%BA%E8%AE%BE%E4%B8%AD%E7%9A%84%E9%87%8D%E5%BA%86%E6%9D%A5%E7%A6%8F%E5%A3%AB%E5%B9%BF%E5%9C%BA.jpg/200px-2018%E5%B9%B47%E6%9C%88%E5%BB%BA%E8%AE%BE%E4%B8%AD%E7%9A%84%E9%87%8D%E5%BA%86%E6%9D%A5%E7%A6%8F%E5%A3%AB%E5%B9%BF%E5%9C%BA.jpg,Chongqing,China,1163,79,2019
13,13,Central Park Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/CentralParkTowerSep20.jpg/200px-CentralParkTowerSep20.jpg,New York City,United States,1550,98,2020
27,27,One Vanderbilt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/OneVanderbiltSep7.jpg/200px-OneVanderbiltSep7.jpg,New York City,United States,1401,67,2020
56,56,Haitian Center Tower 2,https://images.skyscrapercenter.com/building/Haitian-Center-Tower-2-1587537292325.JPG,Qingdao,China,1211,72,2020
38,39,Guiyang Financial Center Tower 1,https://i.imgur.com/0pyiJoq.jpg,Guiyang,China,1316,79,2021
